421,3621
421,4727
421,3534
417,3783
410,8521
442,18547
431,5359
430,8119
431,4800
422,3619
454,3474
512,3407
505,14234
499,13544
485,7134
468,5103
448,3796
413,3125
365,2788
298,2267
339,2138
329,1990
321,2012
321,2348
321,9994
342,5299
342,3220
340,2188
341,2285
341,1896
338,8152
400,7651
397,3218
386,2245
395,2248
389,2208
381,9895
364,4903
354,2957
382,1997
377,1800
359,1757
352,9358
336,3831
358,2965
329,1706
313,6883
284,2882
272,1944
270,6119
265,2889
265,3791
265,2370
265,3946
265,2846
321,5763
319,2714
319,1638
319,1706
332,1715
330,1696
326,1656
324,5985
318,3533
315,3655
315,1999
343,1438
339,1411
329,5091
327,4669
321,2261
316,1623
316,1627
319,1614
306,1562
298,1729
290,1628
278,1505
267,1728
248,1660
218,1472
189,1266
179,1189
170,1139
168,1403
163,1763
163,1751
163,1728
163,2131
163,2146
163,2146
163,2281
161,2125
161,1094
161,1103
161,1114
161,2264
413,1738
412,1957
407,1878
463,4553
462,2531
460,2079
461,2063
454,2038
435,8263
425,5214
419,3243
449,2238
442,1806
425,1823
415,1834
403,7643
431,6065
452,2976
402,1789
347,5803
322,6159
308,3805
304,3686
298,1802
298,5667
298,2792
354,1716
354,1690
354,1639
352,1739
352,5644
373,4166
373,2214
371,1506
367,5953
365,3113
360,2833
384,5028
384,2268
382,1636
385,1632
377,1430
361,1409
355,1413
349,1379
356,4716
350,4550
338,2314
333,1475
322,1454
310,4106
295,4013
266,1911
231,2915
209,2780
194,1783
191,1717
188,1665
186,1594
186,1613
186,1579
186,1600
186,1590
184,1534
184,1529
184,1543
184,2453
184,2503
182,2415
430,1835
427,1876
416,1911
479,5073
479,2810
474,8885
474,3867
459,4467
445,6875
437,3281
465,2227
461,8239
449,4132
439,2443
426,1822
409,7523
433,4334
454,2449
388,6327
345,2612
329,1631
317,1600
313,1558
307,5140
307,5097
307,2206
363,1740
363,1731
363,1734
361,5090
361,5235
382,2334
382,1547
380,1552
376,1540
374,4959
369,4971
394,2187
393,1435
391,1448
394,1616
389,1668
373,1616
364,5056
357,4163
364,2012
359,1532
347,1657
342,1576
335,4551
318,3548
302,2655
286,1586
244,1457
217,3179
203,3106
200,2068
195,2259
191,2100
191,4322
191,4333
191,2142
191,4401
191,2811
189,4227
189,2767
189,1128
189,3499
188,4068
435,1909
434,2168
491,1973
484,5292
484,2942
488,7058
481,5799
466,3399
450,2544
442,10609
470,4001
467,3049
454,10064
444,3378
431,5086
457,6116
436,3361
456,2552
387,8551
347,3043
332,3889
321,6428
314,4305
311,2346
311,6937
311,3726
367,2172
367,1884
367,1889
364,1760
385,7332
385,3332
384,2083
383,1404
377,1784
375,7047
367,3463
396,2148
396,2873
392,6864
393,3031
380,1939
370,1743
363,6778
367,2990
363,1667
352,3910
348,3093
339,4161
323,3004
308,2351
289,5553
248,3051
220,1603
204,4534
201,4519
196,2529
193,4256
193,2845
193,4225
193,2810
193,1695
190,4107
190,4198
190,2699
190,1619
190,4156
188,4106
187,2015
433,1859
422,2107
485,2527
485,2236
476,7263
480,4270
461,2851
449,2468
441,2377
471,10524
465,4406
447,3005
429,5329
425,2980
409,9517
427,3796
421,2091
367,1462
336,1330
322,1300
318,1321
310,5943
310,6074
310,3468
310,1403
366,3857
366,3143
364,2182
364,2182
364,2259
385,2135
382,2119
378,2287
377,6366
369,3038
364,2047
396,4003
392,3053
389,2168
384,5773
373,2616
365,1672
360,1455
358,1310
357,5466
345,4983
335,2070
331,1584
313,1569
296,1203
257,1067
224,1024
209,2845
201,2852
198,1809
193,1293
193,2562
193,2588
193,1773
193,1330
193,2566
190,2447
190,2423
190,1247
190,2403
189,2383
187,1275
186,1003
183,2406
420,1698
484,2183
480,1856
474,1779
467,1900
451,2136
443,1749
441,8214
438,3502
456,2143
438,2148
425,2151
415,2110
397,2099
410,2004
352,1903
349,1622
332,6487
321,6416
315,3173
310,1590
310,1541
310,1453
310,1515
310,5222
366,6183
364,2852
364,1482
364,1283
385,5952
382,4878
378,2160
377,3593
369,1894
364,5300
364,3223
392,1729
389,1379
376,1337
373,1301
365,4667
360,5523
358,2044
359,1317
347,4742
337,3675
325,1451
319,3826
300,2151
269,2574
232,3245
213,1644
201,2838
198,1870
193,1153
193,2817
193,2747
193,1402
193,1149
193,1153
190,1074
190,2596
190,2718
190,1971
190,2901
188,1481
187,1325
186,2921
182,2949
420,1790
485,2210
476,2586
472,4947
462,2619
450,2374
442,2368
441,2331
438,2339
455,2359
438,2270
425,2213
415,2206
397,2444
412,2234
397,7991
349,3814
333,2194
322,3745
318,2924
310,1932
310,5511
310,3520
310,1885
366,3799
366,2979
364,1895
364,1947
364,5722
385,3303
383,1899
381,1383
377,5471
373,3867
365,1875
396,3732
396,2403
392,3692
393,2210
382,1512
370,1598
363,5252
360,3575
363,1758
357,1354
345,1272
343,1244
331,1299
319,4736
300,3657
271,2703
238,2587
214,3545
201,1663
198,1392
195,3013
193,3137
193,1611
193,3026
193,2045
193,1674
193,3082
190,2001
190,1281
