3088,51689
3334,49567
6406,49264
6086,46926
5798,44721
5590,44790
5462,42956
5262,41675
5006,40169
4782,39551
4678,38701
4526,36394
4422,34971
4334,35539
4282,34238
4126,33224
3870,31638
4733,30909
4573,30106
4437,29658
4261,29769
4205,28052
4101,27308
4037,27341
3917,25588
3773,24267
3717,24217
3605,23204
3549,24134
3481,22660
3409,22193
3385,22017
3345,21637
3309,21319
3295,22165
3089,19971
6599,20906
6279,20719
5927,19301
5703,18676
5479,18273
5327,17276
5007,16647
4831,16992
4679,16269
4527,15511
4423,15149
4335,13803
4283,14677
4031,14014
3823,13728
4670,13776
4566,13230
4406,12964
4246,12175
4150,12133
4062,11722
4034,11376
3854,11098
3758,10031
3646,9759
3574,10953
3546,10203
3450,9207
3410,10734
3382,9011
3330,8984
3306,9415
3296,8725
2962,9059
2770,7831
2690,7489
2482,8169
2402,8685
2354,7005
2218,6518
2138,6231
2058,6318
2018,6553
1914,6495
1874,6110
1850,6171
1762,5572
1666,5300
1586,5321
1538,5063
1530,5422
1458,5163
1418,6483
1378,12107
1362,5404
1310,4479
1262,5818
1254,5341
1214,5478
1194,5281
1166,10335
4166,22175
4138,23689
4090,22276
4044,23080
4030,21984
3788,21844
3420,20008
6882,22204
6498,20650
6274,19330
6058,18592
5826,18143
5522,17984
5290,16481
5154,15666
5010,15676
4874,15322
4774,15129
4706,14878
4518,14799
4246,13166
4046,12353
3926,12190
4765,11915
4581,11854
4525,11799
4409,12396
4341,11369
4209,11513
4057,11341
4001,10450
3885,10183
3833,10617
3757,10708
3701,10558
3641,9145
3595,10494
3557,9928
3545,8920
3319,9817
3159,8218
2919,9394
2767,7719
2655,8304
2567,7485
2527,7041
2319,7204
2231,7501
2183,7977
2107,6280
2059,6335
2015,6068
1991,5757
1891,5562
1795,5507
1707,5096
1659,5404
1583,5611
1535,6427
1527,6316
1483,5843
1463,6095
1407,5515
1359,5348
1315,5261
1307,11579
1287,4891
1253,4024
1229,5322
4221,52290
4155,53040
4129,52708
4113,52162
3703,49442
3495,47766
3367,44869
6533,45189
6221,43297
6069,42411
5817,41033
5545,41201
5297,38791
5185,37073
5013,35775
4893,47832
4793,34723
4741,46226
4465,32937
4241,31398
4041,30095
3929,29512
4772,48244
4604,28002
4496,28442
4404,25314
4376,24875
4178,24469
4074,24970
3966,23305
3910,23152
3850,23414
3772,22097
3696,22559
3668,21291
3610,21669
3588,21184
3574,20671
3216,19058
3040,19509
2928,19424
6110,19769
5918,18503
5686,17339
5450,16843
5194,15919
4962,15644
4858,15357
4694,14956
4590,14772
4498,14126
4446,13624
4176,12694
3968,12011
3784,11999
3704,12669
3564,12227
4387,12172
4271,11642
4215,10966
4155,10903
3965,10252
3869,9774
3769,9674
3713,10752
3657,10072
3583,8911
3511,10486
3483,9547
5642,54489
5610,57249
5584,56216
5010,52840
4754,50512
4546,48910
4314,45819
7408,48287
7112,45847
6836,44525
6500,42209
6212,40620
6076,40288
5880,38976
5736,38078
5624,37957
5560,36806
5202,35275
4962,33776
4738,33025
4602,31923
4470,32153
5237,30058
5117,29469
5009,29334
4977,30429
4755,27835
4595,26859
4499,25556
4407,26001
4375,25987
4257,25562
4197,25175
4173,24482
4109,23574
4079,24353
4067,23174
3658,22329
3418,20906
3322,21290
3146,19254
6184,20130
6016,19395
5788,19066
5468,19595
5268,17875
5148,17266
4972,16736
4868,16689
4768,15737
4716,15617
4410,14757
4202,13886
4002,13477
3906,13402
3738,13189
4585,12859
4461,12889
4385,12928
4357,12842
4147,12233
4027,11917
3935,11907
3859,11548
3831,10503
3727,10908
3675,10909
3655,11873
3597,10777
5768,54915
5750,57492
5167,53812
4895,50253
4687,48403
4439,47113
7413,46845
7229,46526
6949,45180
6613,42485
6317,40758
6181,40387
5977,40641
5841,39630
5725,37748
5657,44749
5323,35990
5051,34136
4819,32157
4715,31853
4543,31077
4391,30004
5186,29319
5122,28918
5050,28762
4822,27252
4702,26605
4578,25822
4514,25142
4442,24845
4356,24255
4264,24354
4236,23977
4186,23702
4140,24458
4126,23848
3871,21812
3503,20700
3391,20032
3223,19542
3095,18844
6133,19746
6029,19012
5585,18190
5385,17681
5217,16669
5069,16952
4933,16173
4833,15893
4765,15293
4569,15332
4297,14765
